filled_paraphrased_canonical	masked_sparql_query
Сколько детей имеет муж Кейт Уинслет? 	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:child_count ?x0 . }
Дата основания страны, граничащей с СССР?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Какое количество директоров управляет компанией Supercell?	select count ( distinct ?x0 ) where { SUBJ_1 dr:company_director ?x0 . }
Какая высота над уровнем моря в месте расположения Циньлин? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:elevation ?x0 . }
Какова общая площадь города, в котором в данный момент живёт Джулиан Барнс?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Сколько лет государству, на территории которого находится Амбролаури?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
Какой псевдоним носит брат Пак Кын Хе?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:pseudonym ?x0 . }
Как много работ написал человек, которым вдохновлялся Эмили Элин Линд?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:count_works ?x0 . }
В каких альянсах состоит Великобритания? 	select count ( distinct ?x0 ) where { ?x0 dr:parts_alliance OBJ_1 . }
В каком году компания Airbnb была создана другой организацией? 	select ?x0 where { SUBJ_1 dr:company_parent ?dummy . ?dummy dr:company_inception_date ?x0 . }
В городе скакой самой большей площадью живет Игорь Алексеевич Лещук? 	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Какое число работников есть в компании, владеющей Роснефтегаз?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Сколько стран соседствует с Кабо Верде?	select distinct ?x0 where { SUBJ_1 dr:numberneighboringcountries ?x0 . }
На какой средней ширине расположена Нижегородский кремль?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
Фильм Игра Джералда, когда был выпущен?	select distinct ?x0 where { SUBJ_1 dr:publication_date ?x0 . }
Санкин Борис Сергеевич гражданка каких государств	select count ( distinct ?x0 ) where { SUBJ_1 dr:country_of_citizenship ?x0 . }
Дата основания страны, которая граничит с Нидерланды?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Сколько плотность населения страны, гражданкой которой является Ермолов Александр Петрович?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
Как назвали при рождении директора Взгляд ру	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:real_full_name ?x0 . }
Главный герой какого произведения Мэри Поппинс	select distinct ?x0 where { SUBJ_1 dr:main_character_female ?x0 . }
Сколько всего работников в компании, владельцем которой является Портал Inbox 55?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Какой глубины Каттара?	select distinct ?x0 where { SUBJ_1 dr:depth ?x0 . }
суммарная глубина морей у острова Канада	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
Каким временем датируется время распада государства, ближе всего к которому расположена Калараш?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:date_country_end ?x0 . }
Дата рождения матери Алтея Рейнхардт? 	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:birth_day ?x0 . }
Какое количество детей у директора компании РусГидро? 	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:child_count ?x0 . }
Количество работ в творчестве Олег Леонидович Лундстрем?	select distinct ?x0 where { SUBJ_1 dr:count_works ?x0 . }
Какая максимальная плотность населения там, где в текущий момент живёт Авдей Степанович Тер Оганьян?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
В среднем сколько лет было умершему человеку, которым был вдохновлен Якуб Ганецкий?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
Эстин Джон ее отец	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Общая площадь города в котором сейчас проживает Уэбб Хлоя 	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Шефер Густав была вдохновлена человеком, в каких жанрах он выступал	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
 Когда начала творческую деятельность жена Хан Бисмилла?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:work_period_start ?x0 . }
На какой высоте над уровнем моря проживает Эудженио Бельтрами?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Родственник Юнна Петровна Мориц сколько раз сочетался браком?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:marriage_count ?x0 . }
Когда была создана страна, граничащая с Китайская Республика Тайвань?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Кто входит в состав политической партии торсионные поля?	select distinct ?x0 where { ?x0 dr:political_party OBJ_1 . }
сумма выделенная  на фильм Калидаса?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2130 ?x0 . }
Какое лого у компании, основавшей Яндекс Карты?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:company_logo ?x0 . }
До скрольки лет дожил первооткрыватель Масаи? 	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:death_age ?x0 . }
Сколько всего фирм было создано в Вау?	select count ( distinct ?x0 ) where { ?x0 dr:company_inception_place OBJ_1 . }
Назовите атомную массу у гидроортофосфат бериллия?	select distinct ?x0 where { SUBJ_1 dr:mass ?x0 . }
Количество созданных компаний в Градец Кралове?	select count ( distinct ?x0 ) where { ?x0 dr:company_inception_place OBJ_1 . }
Какова дата рождения отца Олесь Алексеевич Бузина?	select ?x0 where { SUBJ_1 dr:father ?dummy . ?dummy dr:birth_day ?x0 . }
Человек, вдохновивший Кара Мурза Сергей Георгиевич, женат ли он сейчас?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Какое максимальное число жителей, приходящееся на 1 км² родного города Люси Дэвис?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Персонаж Том Сойер герой произведений скольких частей?	select count ( distinct ?x0 ) where { SUBJ_1 dr:present_in_literary_work ?dummy . ?dummy dr:number_of_parts ?x0 . }
Сколько было лет умершему человеку, которым был вдохновлен Михаил Матвеев?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
Сколько у Храм Спаса Нерукотворного Образа на Сетуни притоков	select distinct ?x0 where { SUBJ_1 dr:river_inflows ?x0 . }
Какая длина у границы страны, в юрисдикции которой находится ТуркестанDUMMY, самый минимум?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Сколько всего музыкальных жанров есть в выступлениях человека, который стал вдохновителем для Эндрю Карнеги? 	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Высока ли плотность населения страны, гражданкой которой является Джон Дэвисон Рокфеллер?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
Какой целый размер страны в попечительстве которой находится Назарет ? 	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Сколько времени прошло со времён основания страны, в которой была создана компания Ikarus? 	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:date_country_foundation ?x0 . }
какова валентность силицид пентамеди	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
какова плотность населения  Китай	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
Укажите общую глубину водоема, на котором расположен остров Швейцария? 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
как нарёк себя в твиттере муж Умтити Самюэль	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:twitter ?x0 . }
Каково было число браков у матери Маргарет Армстронг Джонс?	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:marriage_count ?x0 . }
Государства граничащие со страной, в которой развивается сюжет книги Приключения капитана Врунгеля?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:borders_country ?x0 . }
Когда основана Калитники? 	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:period_country ?x0 . }
Сколько минут идёт фильм, режиссёр и актёр в котором Илья Нусинов?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Какая минимальная плотность населения в населенном пункте, где родилась Каланта Ромас?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Когда была построена управление рисками?	select distinct ?x0 where { SUBJ_1 dr:company_inception_date ?x0 . }
Кто представляет партию Мехатроника 	select distinct ?x0 where { ?x0 dr:political_party OBJ_1 . }
В каком году было основано учебное заведение, где обучался Глинн Карни Том?	select ?x0 where { SUBJ_1 dr:education ?dummy . ?dummy dr:date_foundation ?x0 . }
атомный номерэлемента, названного в честь Дипалладийванадий?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:atomic_number ?x0 . }
Кому Александр Анатольевич Заваров приходится дочерью?	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Работы основателя демография	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:count_works ?x0 . }
О чем писал Эдвард Теллер?	select distinct ?x0 where { ?x0 dr:hasauthor OBJ_1 . }
От чего умер Анатолий Алексеевич Иванишин ?	select distinct ?x0 where { SUBJ_1 dr:death_cause ?x0 . }
Сколько по времени существует государство входящее в Оферта	select ?x0 where { SUBJ_1 dr:parts_alliance ?dummy . ?dummy dr:period_country ?x0 . }
С государством Германия сколько всего граничит стран? 	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
У всех членов совета директоров компании политика есть семьи?	select ?x0 where { SUBJ_1 dr:company_boardmembers ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Когда дата смерти матери Лоеопольд фон Мильденштейн?	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:death_date ?x0 . }
Сколько существует организовавшая Экологическое право страна? 	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:period_country ?x0 . }
Общее число лет существования страны, граничащей с Япония?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:period_country ?x0 . }
Сколько всего владельцев в фирме космология?	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
число альтернативных названий имеет вещество, основным компонентом которого является антимонид калия?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
"""Год распада государства, на территории которого создали """"Вся королевская рать""""?"""	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:date_country_end ?x0 . }
Число рабочих мест в родной стране Барабаш Алексей Игоревич?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:count_works ?x0 . }
Сколько браков было у главы Поляне?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:marriage_count ?x0 . }
Время рождения создателя Веймарн?	select ?x0 where { SUBJ_1 dr:author ?dummy . ?dummy dr:birth_day ?x0 . }
Почему так назвал себя в твиттере человек, вдохновивший Венедикт Ерофеев?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:twitter ?x0 . }
сюжет книги ФСБ взрывает Россию с какими государствами граничит страна	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:borders_country ?x0 . }
А какова кличка автора персонажа Тарзан? 	select ?x0 where { SUBJ_1 dr:author ?dummy . ?dummy dr:nickname ?x0 . }
Сколько объектов названо в честь Сульфиды лантана? 	select count ( distinct ?x0 ) where { ?x0 dr:element_by_named_after OBJ_1 . }
Какова глубина водоёма, на территории которого географически расположена Великобритания	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
В какой работе присутствовал философ и общественный деятель Зубов Андрей Борисович?	select distinct ?x0 where { SUBJ_1 dr:present_in_literary_work ?x0 . }
Джон Уильямс чьи кумиры? 	select distinct ?x0 where { ?x0 dr:influenced_by OBJ_1 . }
Как много стран омывается водоемами Донузлавская ВЭС? 	select count ( distinct ?x0 ) where { ?x0 dr:wash OBJ_1 . }
Какая максимальная плотность населения в населенном пункте, где родилась Якин Хакан?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Какое минимальное число альтернативных названий имеет субстанция, основным компонентом которого является Миракулин?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Место, где развивался сюжет  Generation П какую имеет минимальную площадь?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Сколько значение валентности у Биксбиит 	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
В каком году построена градостроительство?	select distinct ?x0 where { SUBJ_1 dr:company_inception_date ?x0 . }
Сколько человек приходится на квадратный километр Белоруссия? 	select distinct ?x0 where { SUBJ_1 dr:population_density ?x0 . }
Есть ли жена у убийцы Эней?	select ?x0 where { SUBJ_1 dr:death_cause ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Какое количество жителей проживает в городе, где стоит центральный офис Группа ГАЗ?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:population_count ?x0 . }
Как много жанров использовал человек, которым вдохновлялась Александр Гаврилович Шляпников?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Основатель Дюна, количество работ	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:count_works ?x0 . }
Первое упоминание о реке, омывающей Кидония?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:discovered_at ?x0 . }
В какое время родился основатель компании Экологическое право ?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:birth_day ?x0 . }
Какова территория страны, в которой живет Еремей Иудович Парнов?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
Когда распалось государство, с которым граничит Уренгойское газовое месторождение?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:date_country_end ?x0 . }
Расстояние родного города Терентьев Игорь Герасимович?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Каково количество соседних государств у страны, столицей которой является Русское Устье?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Определите атомный номер у элемента Ксилометазолин?	select distinct ?x0 where { SUBJ_1 dr:atomic_number ?x0 . }
Назовите количество работ у человек, основавшего компанию Федеральная служба государственной регистрации кадастра и картографии ?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:count_works ?x0 . }
Псевдоним, который имеет брат Мадлен Астор?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:pseudonym ?x0 . }
Какое химическое вещество является основным компонентом эйнштейний? 	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:lightest ?x0 . }
Какова суммарная высота над уровнем моря у места, в котором в текущий момент живёт Коган Павел Леонидович?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
суммарное значение площади Родины Людивин Санье	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Общая какая продолжительность границ страны,где расположен рядом Альморавиды	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Какова минимальная плотность населения в месте, где в текущий момент живёт Иван Николаевич Кульбертинов?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
Какое количество логотипов имеет компания Вкусно и точка?	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_logo ?x0 . }
Общая сумма глубины водоемов, омывающих Украина?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Средняя площадь города в котором живёт Рязанский Михаил Сергеевич какая 	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Сколько притоков у Александровский сад	select count ( distinct ?x0 ) where { SUBJ_1 dr:river_inflows ?x0 . }
Кабардино Балкарская автономная область расположена на какой средней ширине?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
Как часто женился создатель Призрачное лицо?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:marriage_count ?x0 . }
К какому место ближе всего расположено место, куда впадает река Толмачи? 	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:locatedinclosest ?x0 . }
какую минимальную высоту составляет место,где построили место Рыркайпий	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:elevation ?x0 . }
валентность у Anadolu Efes какая	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
Сколько составляет суммарное значение площади страны, которая является родиной Александра Федоровна?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Когда произошёл распад государства, ближе всего к которому расположена Оранский Богородицкий монастырь?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:date_country_end ?x0 . }
Сын Пламондон Люк женат?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
А была ли кличка к родственника Джеки Чан, и какая?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:nickname ?x0 . }
Когда создали политическую партию в которой есть Уильям Джемс	select ?x0 where { SUBJ_1 dr:political_party ?dummy . ?dummy dr:company_inception_date ?x0 . }
Добричская областьDUMMY находится  в юрисдикции некой страны. Рассчитайте общую длину границы этой страны?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Сколько лет стране, в которой река Ильинские ворота?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:period_country ?x0 . }
Какие названия вещества, основным компонентов которого является Рицинолеат лития? 	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Главным героем каого произведения является Джилл Валентайн?	select distinct ?x0 where { SUBJ_1 dr:main_character_female ?x0 . }
Сколько раз был женат отец Тео Сарапо? 	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:marriage_count ?x0 . }
Когда началась творческая деятельность ребенка Дэйзи Ридли	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:work_period_start ?x0 . }
Возраст в ктором умер автор книги Приключения Оливера Твиста?	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:death_age ?x0 . }
Сколько составляет площадь страны, гражданином которой был Карломан?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
Сколько денег потратили на съёмку фильма, где Ху Цзиньтао был режиссёром и актёром? 	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2130 ?x0 . }
Какие страны находятся по берегам концлагерь Освенцим	select count ( distinct ?x0 ) where { SUBJ_1 dr:political_own ?x0 . }
дата создания  компании-владельца фреоны	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_inception_date ?x0 . }
Сколько людей живет в стране, с которой граничит Нидерланды?	select distinct ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_density ?x0 . } order by desc ( ?x0 )
Какие страны сосетствуют с Украина? 	select distinct ?x0 where { SUBJ_1 dr:numberneighboringcountries ?x0 . }
Какой год написан в КиноПоиске у родителя Потеев Александр Николаевич? 	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy wdt:p2604 ?x0 . }
В скольких направлениях  выступал человек, который вдохновил  Брейтенбихер Дмитрий Васильевич?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Сколько жителей приходится на километр территории страны, с которой граничит СССР?	select distinct ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_density ?x0 . } order by desc ( ?x0 )
Численность легких веществ в химическом классе Индия	select count ( distinct ?x0 ) where { SUBJ_1 dr:lightest ?x0 . }
Самый большой водоём прилегающий к берегам Амбер? 	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Когда родился тот человек, который был вдохновлентворчеством Хитрово Богдан Матвеевич?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:birth_day ?x0 . }
Первый правитель Казахстан. Когда родился?	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:birth_day ?x0 . }
Сколько лет стране, где находится главный офис Новолипецкий металлургический комбинат?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
Какой Твиттер имеет человек, написавший произведение: Темные начала?	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:twitter ?x0 . }
Чьё это место, где были персонажи Красная книга Украины?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:political_own ?x0 . }
Какая общая площадь местности, где происходит действие сюжета Сказка о Тройке?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Что известно о ребенке Русаков Константин Викторович	select distinct ?x0 where { SUBJ_1 dr:child ?x0 . }
Сколько всего километров составляет площадь государства, гражданин которой - Василий Владимирович Пукирев?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
Сколько раз выходила замуж мать Гвен Стефани?	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:marriage_count ?x0 . }
Из какой книги Лайт Ягами? 	select distinct ?x0 where { SUBJ_1 dr:main_character_female ?x0 . }
Как называется город в котором родился Игорь Анатольевич Франчук	select ?x0 where { SUBJ_1 dr:birth_place ?dummy . ?dummy dr:iscapitalof ?x0 . }
Какой размер популяции в месте, в котором располагается Голубая дорога?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_count ?x0 . }
Какое количество лет существует страна, создавшая компанию MG Cars?	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:period_country ?x0 . }
Есть ли в настоящее супруга у директора Римский клуб?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Кто отец Есаулов Максим Александрович	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Какова максимальная длина границ у страны, ближе всех находящейся к Старый английский двор?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Какая максимальный размер, в котором расположен Посольство Ирана в России?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
Сколько руководителей в компании Одноклассники? 	select count ( distinct ?x0 ) where { SUBJ_1 dr:company_director ?x0 . }
Какое качество работ написал человек,которым вдохновлялся Пунин Николай Николаевич?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:count_works ?x0 . }
Чем занимается человек, занимающий пост директора Луцкий автомобильный завод?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:main_field_of_work ?x0 . }
Общее количество водоемов, омывающих Швейцария, сколько?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
как отмечен в твиттере муж Аурелия Анужите	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:twitter ?x0 . }
Сколько лет стране, на территории которой находится Эндр?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
С чего Бускалин так назвали? 	select distinct ?x0 where { ?x0 dr:element_by_named_after OBJ_1 . }
Основатель Территория Джервис Бей. Сколько у него было детей?	select ?x0 where { SUBJ_1 dr:person_foundation ?dummy . ?dummy dr:child_count ?x0 . }
Скажите, когда распалась страна, в которой было создано произведение Загадочная история Бенджамина Баттона?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:date_country_end ?x0 . }
сколько выделено на фильм Паркер Рей?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2130 ?x0 . }
Сколько получится логотипов, если все пересчитать, у компании, которая владеет Instagram?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Какова наибольшая цифра длины границы страны, само близкой к Лихоборы?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
В чем суть произведения Ману смрити? 	select distinct ?x0 where { ?x0 dr:present_in_literary_work OBJ_1 . }
Сколько в сумме стран граничит с государством США?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Автором скольких произведений является Сергей Николаевич Анохин?	select count ( distinct ?x0 ) where { SUBJ_1 dr:composed ?x0 . }
Сколько существует страна , на территории которой расположен центральный офис Cummins?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
Какой химический элемент назван в честь Они?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
Какое название имеет язык Филипп Филиппович Преображенский в произведении?	select ?x0 where { SUBJ_1 dr:native_language ?dummy . ?dummy dr:name ?x0 . }
Сколько жен было у автора Дон Кихот?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:marriage_count ?x0 . }
Сколько всего детей у директора компании география?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:child_count ?x0 . }
Гражданством скольки государств обладает Джо Райт?	select count ( distinct ?x0 ) where { SUBJ_1 dr:country_of_citizenship ?x0 . }
В области города Змеиный какая минимальная численность всего населения всех городов и поселков	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:population_density ?x0 . }
Накое значение у валентности Трииодид диантимонид тетрартути	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
Какова минимальная высота над уровнем моря у места, в котором на текущий момент живёт Шевченко Аркадий Николаевич?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Какое имя в твиттере у мужа Ван Хао?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:twitter ?x0 . }
Подскажи ширину водоема в который впадает Проспект Петра Григоренко 	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:width ?x0 . }
Сколько в среднем  времени существует страна, в которой была написана книга Отцы и дети?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:period_country ?x0 . }
Какая дата создания места расположения центрального офиса NordStar Airlines?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:creation_date ?x0 . }
Открывший Ниобийтрипалладий человек - его настоящее полное имя?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:real_full_name ?x0 . }
